Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,,<1km,51%-75%,Classrooms are crowded,Yes,"School is occupied (by families, military, etc.)",Lack of teachers,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Disabilities lack of food at home and school,Lack of facilities separated by sex disabilities,Yes,Yes,156,493,IDPs,Yes,Yes,Borno,Jere,Mairi,Emergency shelters,,,,>75%,Yes,No,,Diarrhea,Yes,Yes,Yes
Yes,On-site,<1km,51%-75%,Classrooms are crowded,No,Fees or costs,School is damaged or destroyed,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Disabilities they are working,Safety concerns,Yes,Yes,480,2195,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,<25%,,>75%,Yes,No,,Hepatitis,Yes,Yes,Yes
Yes,,<1km,51%-75%,Classrooms not crowded,Yes,"School is occupied (by families, military, etc.)",Lack of school supplies,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of space in local schools lack of facilities separated by sex,Lack of facilities separated by sex early marriage ,Yes,Yes,106,338,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,,<25%,>75%,Yes,No,Self Organized,Cough,Yes,Yes,Yes
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,School is damaged or destroyed,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Distance to school lack of documentation,Early marriage  they are working,Yes,Yes,83,356,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,,,>75%,No,No,,Malaria,Yes,No,No
Yes,,<1km,51%-75%,Classrooms are crowded,No,Fees or costs,School is damaged or destroyed,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Disabilities lack of documentation,Early marriage ,Yes,No,59,282,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,,,>75%,No,Yes,,Cough,Yes,No,Yes
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,"School is occupied (by families, military, etc.)",Lack of school supplies,Distance to the school (too far),"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Disabilities none girls,They are working early marriage ,Yes,No,225,706,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,25%-50%,,>75%,No,No,,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,School is damaged or destroyed,Work in the fields,"School is occupied (by families, military, etc.)","Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of space in local schools none girls,Lack of facilities separated by sex lack of food at home and school,Yes,Yes,232,935,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,,,>75%,No,No,,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,51%-75%,Classrooms are crowded,No,Fees or costs,School is damaged or destroyed,Fear of violence,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Distance to school early marriage pregnancy,Disabilities lack of food at home and school,Yes,No,441,1759,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,,,51%-75%,Yes,No,,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of teachers,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",None girls lack of facilities separated by sex,Lack of facilities separated by sex,Yes,Yes,108,406,IDPs,Yes,Yes,Borno,Jere,Mairi,Rented house,,,,>75%,No,No,,Diarrhea,Yes,No,Yes
Yes,On-site,<1km,51%-75%,Classrooms are crowded,No,"School is occupied (by families, military, etc.)",Lack of teachers,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage pregnancy they are working,None boys,Yes,Yes,165,926,IDPs,Yes,Yes,Borno,Jere,Mairi,Rented house,,,<25%,>75%,Yes,No,Self Organized,Malaria,No,Yes,Yes
Yes,Off-site,<2km,51%-75%,Classrooms are crowded,No,Fees or costs,School is damaged or destroyed,Violence/Risks at the school or to/From the school,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Distance to school lack of facilities separated by sex,Safety concerns early marriage ,No,No,16,60,IDPs,Yes,No,Borno,Jere,Mairi,Rented house,,,,>75%,No,No,,Malaria,Yes,Yes,Yes
Yes,Off-site,<1km,25%-50%,No enough learning space,Yes,Lack of parental/Care givers support,Work at the house,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are not crowded",They are working lack of food at home and school,Fees or costs early marriage ,No,Yes,328,1838,IDPs,Yes,Yes,Borno,Jere,Mashamari,Rented house,,,,<25%,Yes,No,Self Organized,Fever,Yes,Yes,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of parental/Care givers support,Work at the house,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,Lack of space in local schools lack of food at home and school,No,Yes,442,1069,IDPs,Yes,Yes,Borno,Jere,Mashamari,Rented house,,,25%-50%,25%-50%,Yes,No,Self Organized,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Work at the house,Lack of parental/Care givers support,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working fees or costs,Lack of food at home and school fees or costs,No,Yes,111,540,IDPs,Yes,Yes,Borno,Jere,Mashamari,Rented house,,,<25%,25%-50%,Yes,No,Local authorities,Fever,Yes,Yes,No
Yes,On-site,<1km,<25%,Classrooms not crowded,Yes,Lack of parental/Care givers support,Lack of school supplies,Lack of teachers,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy safety concerns,They are working lack of food at home and school,Yes,Yes,237,1406,IDPs,Yes,Yes,Borno,Jere,Mashamari,Preexisting structures (Partitioned),,,<25%,25%-50%,Yes,Yes,Self Organized,Cough,Yes,Yes,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Lack of parental/Care givers support,Lack of teachers,Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school early marriage/pregnancy,They are working lack of food at home and school,No,Yes,275,1269,IDPs,Yes,Yes,Borno,Jere,Mashamari,Preexisting structures (Partitioned),,,,25%-50%,Yes,Yes,Military,Malaria,Yes,Yes,No
Yes,Off-site,<1km,<25%,Classrooms not crowded,Yes,Lack of school supplies,Work at the house,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of food at home and school,Lack of food at home and school early marriage ,Yes,Yes,243,1131,IDPs,Yes,Yes,Borno,Jere,Mashamari,Preexisting structures (Partitioned),,,,<25%,Yes,Yes,Self Organized,Fever,Yes,No,No
Yes,Off-site,<1km,51%-75%,Classrooms not crowded,No,Lack of teachers,Lack of parental/Care givers support,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Early marriage/pregnancy safety concerns,Lack of food at home and school early marriage ,Yes,No,43,337,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,,,51%-75%,Yes,No,Self Organized,Hepatitis,Yes,No,No
Yes,Off-site,<2km,25%-50%,No enough learning space,No,Fees or costs,Distance to the school (too far),Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs they are working,Fees or costs they are working,Yes,Yes,32,155,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,<25%,>75%,,Yes,No,Community,Malaria,Yes,No,No
No,,,none,Classrooms not crowded,No,Distance to the school (too far),Fear of violence,Disease/Illness,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,They are working early marriage ,Yes,Yes,32,101,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,<25%,<25%,,Yes,No,Military,Malaria,No,No,No
Yes,Off-site,<1km,25%-50%,Classrooms not crowded,No,Lack of parental/Care givers support,Fees or costs,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy lack of food at home and school,They are working lack of food at home and school,No,Yes,64,465,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,,,>75%,Yes,Yes,Self organized,Cough,Yes,No,No
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Fees or costs,School is damaged or destroyed,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working lack of food at home and school,Fees or costs safety concerns,No,Yes,31,200,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,,25%-50%,25%-50%,Yes,Yes,Self Organized,Fever,Yes,No,No
Yes,Off-site,<1km,<25%,Classrooms are crowded,No,Lack of parental/Care givers support,Lack of school supplies,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs early marriage pregnancy,Fees or costs they are working,No,Yes,42,389,IDPs,Yes,Yes,Borno,Jere,Mashamari,HH living in makeshift shelter (Using Household Items),,<25%,51%-75%,,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,Off-site,<1km,<25%,Classrooms not crowded,Yes,Lack of parental/Care givers support,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of food at home and school early marriage pregnancy,Distance to school lack of food at home and school,No,Yes,59,345,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,<25%,25%-50%,<25%,Yes,Yes,Self organized,Cough,Yes,No,No
Yes,,<1km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of parental/Care givers support,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy lack of food at home and school,Early marriage  lack of space in local schools,Yes,Yes,64,339,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,,51%-75%,25%-50%,Yes,Yes,Self organized,Fever,Yes,No,Yes
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Fees or costs,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy lack of food at home and school,Safety concerns lack of food at home and school,No,No,34,189,IDPs,Yes,Yes,Borno,Jere,Mashamari,Emergency shelters,,,>75%,<25%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<2km,none,No enough learning space,No,Fees or costs,"School is occupied (by families, military, etc.)",Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy,They are working fees or costs,No,Yes,36,189,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,,51%-75%,,No,No,,Malaria,No,No,No
Yes,Off-site,<1km,25%-50%,No enough learning space,No,Lack of parental/Care givers support,Lack of teachers,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working lack of food at home and school,Lack of food at home and school they are working,No,Yes,71,382,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,,<25%,25%-50%,Yes,No,Self Organized,Diarrhea,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,No,Lack of teachers,Lack of parental/Care givers support,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working fees or costs,No,Yes,48,404,IDPs,Yes,Yes,Borno,Jere,Mashamari,Emergency shelters,,>75%,<25%,,Yes,Yes,Community,Diarrhea,Yes,Yes,No
Yes,Off-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Fees or costs,Largely insufficient number of teachers/Volunteers are available,Lack of food at home and school early marriage/pregnancy,They are working fees or costs,No,Yes,109,633,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,,,25%-50%,Yes,No,Self Organized,Cough,Yes,Yes,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Work in the fields,Work at the house,Fear of violence,"Enough teachers/Volunteers are available, classrooms are not crowded",Early marriage pregnancy they are working,They are working early marriage ,Yes,Yes,49,280,IDPs,Yes,Yes,Borno,Jere,Mashamari,Makeshift shelter (Using Local Materials),,25%-50%,51%-75%,<25%,Yes,Yes,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Fees or costs,Work in the fields,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Distance to school early marriage/pregnancy,Early marriage  they are working,No,No,172,921,Returns,Yes,Yes,Borno,Jere,Ngudaa/Addamari,Makeshift shelter (Using Local Materials),,,<25%,51%-75%,No,No,,Fever,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms not crowded,Yes,Lack of teachers,Lack of parental/Care givers support,Distance to the school (too far),Largely insufficient number of teachers/Volunteers are available,Fees or costs lack of food at home and school,They are working lack of food at home and school,No,Yes,136,719,IDPs,Yes,Yes,Borno,Jere,Ngudaa/Addamari,Makeshift shelter (Using Local Materials),,,51%-75%,<25%,Yes,Yes,Military,Cough,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy they are working,Lack of food at home and school they are working,No,Yes,632,3242,IDPs,Yes,Yes,Borno,Jere,Ngudaa/Addamari,Makeshift shelter (Using Local Materials),,,<25%,51%-75%,Yes,Yes,Military,Diarrhea,Yes,Yes,Yes
Yes,Off-site,<1km,<25%,Classrooms not crowded,No,Lack of parental/Care givers support,Lack of school supplies,Fees or costs,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school they are working,They are working lack of food at home and school,No,No,129,687,IDPs,Yes,Yes,Borno,Jere,Ngudaa/Addamari,Transitional shelter,,,51%-75%,<25%,Yes,Yes,Military,Cough,Yes,No,No
Yes,Off-site,<5km,25%-50%,Classrooms not crowded,Yes,Lack of parental/Care givers support,Work in the fields,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are not crowded",They are working lack of food at home and school,Early marriage  lack of food at home and school,No,Yes,138,687,IDPs,Yes,Yes,Borno,Jere,Ngudaa/Addamari,Makeshift shelter (Using Local Materials),,,51%-75%,,Yes,No, CJTF,Cough,No,No,No
Yes,Off-site,<1km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of teachers,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs lack of food at home and school,Distance to school lack of food at home and school,No,Yes,201,1043,IDPs,Yes,Yes,Borno,Jere,Ngudaa/Addamari,Makeshift shelter (Using Local Materials),,51%-75%,<25%,,Yes,Yes,Military,Cough,Yes,No,No
Yes,On-site,<1km,<25%,Classrooms are crowded,Yes,Fees or costs,Work at the house,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs,They are working lack of food at home and school,No,Yes,325,1909,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),20.0,<25%,<25%,,No,No,,Malaria,Yes,Yes,Yes
No,,,none,No enough learning space,No,Lack of teachers,Work at the house,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Fees or costs,Disabilities,Yes,No,315,1882,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),20.0,51%-75%,25%-50%,25%-50%,No,No,,Malaria,No,No,No
No,,,none,No enough learning space,No,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,They are working,Early marriage ,No,No,415,2432,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Rented house,59.0,<25%,<25%,<25%,Yes,Yes,Self Organized,Malaria,No,Yes,Yes
No,,,none,No enough learning space,Yes,Lack of teachers,Fees or costs,Work at the house,Largely insufficient number of teachers/Volunteers are available,They are working,They are working,Yes,Yes,321,1704,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Rented house,,<25%,<25%,<25%,Yes,Yes,Self Organized,Malaria,No,Yes,Yes
No,,,none,No enough learning space,No,Lack of teachers,Work at the house,Work in the fields,Largely insufficient number of teachers/Volunteers are available,They are working early marriage/pregnancy,Fees or costs they are working,No,No,554,2709,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),50.0,25%-50%,<25%,25%-50%,No,No,,Diarrhea,No,Yes,Yes
No,,,none,No enough learning space,No,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Fees or costs lack of facilities separated by sex,Early marriage ,No,Yes,302,3077,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),30.0,51%-75%,<25%,25%-50%,No,No,,Cough,Yes,Yes,Yes
No,,,none,No enough learning space,No,Fees or costs,Work in the fields,Fear of violence,Largely insufficient number of teachers/Volunteers are available,They are working,Fees or costs,No,No,495,2920,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,HH living in makeshift shelter (Using Household Items),,<25%,25%-50%,<25%,Yes,Yes,Self Organized,Malaria,No,Yes,No
No,,,none,No enough learning space,No,Lack of teachers,Work in the fields,Lack of parental/Care givers support,Largely insufficient number of teachers/Volunteers are available,They are working,Lack of food at home and school early marriage ,No,No,4084,20790,IDPs,Yes,No,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,25%-50%,25%-50%,25%-50%,Yes,Yes,Local authorities,Malaria,No,Yes,Yes
No,,,none,No enough learning space,No,Lack of school supplies,"School is occupied (by families, military, etc.)",Lack of teachers,"Enough teachers/Volunteers are available, classrooms are not crowded",They are working safety concerns,Distance to school fees or costs,Yes,No,46,207,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,51%-75%,51%-75%,51%-75%,Yes,Yes,Community,Malaria,Yes,No,Yes
Yes,On-site,<1km,<25%,No enough learning space,No,Lack of teachers,Fees or costs,Work at the house,Largely insufficient number of teachers/Volunteers are available,They are working,They are working,No,Yes,1606,6957,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,25%-50%,25%-50%,25%-50%,Yes,Yes,Local authorities,Malaria,No,Yes,Yes
No,,,none,No enough learning space,Yes,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,They are working,Lack of space in local schools lack of food at home and school,No,Yes,183,868,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,,,<25%,No,No,,Diarrhea,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,No,Fees or costs,Work at the house,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Lack of space in local schools,Lack of food at home and school,No,Yes,561,1923,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,51%-75%,<25%,,Yes,Yes,Self Organized,Diarrhea,Yes,Yes,Yes
Yes,On-site,<1km,<25%,No enough learning space,No,Lack of teachers,Work in the fields,Fear of violence,Largely insufficient number of teachers/Volunteers are available,They are working,Early marriage ,No,No,1547,7355,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,51%-75%,25%-50%,25%-50%,Yes,Yes,Local authorities,Diarrhea,Yes,Yes,Yes
No,,,none,No enough learning space,No,Fees or costs,Disease/Illness,Distance to the school (too far),"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,They are working,No,Yes,131,783,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,<25%,51%-75%,<25%,Yes,Yes,Self Organized,Malaria,No,Yes,Yes
Yes,Off-site,<1km,25%-50%,Classrooms are crowded,Yes,Distance to the school (too far),Lack of school supplies,Fees or costs,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school distance to school,Lack of food at home and school distance to school,Yes,Yes,1790,9778,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelters,,25%-50%,25%-50%,<25%,Yes,No,Police,Malaria,Yes,Yes,No
Yes,Off-site,<1km,25%-50%,Classrooms not crowded,Yes,Distance to the school (too far),Lack of school supplies,Fees or costs,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school distance to school,Distance to school they are working,Yes,Yes,517,2325,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelters,,>75%,<25%,,Yes,No,Self Organized,Malaria,Yes,Yes,No
Yes,On-site,<1km,<25%,Classrooms are crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working lack of food at home and school,Lack of food at home and school,Yes,Yes,503,2085,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,51%-75%,<25%,,Yes,No,Self organized,Malaria,Yes,Yes,Yes
No,,,none,Classrooms are crowded,Yes,Distance to the school (too far),Lack of school supplies,Fees or costs,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school distance to school,Lack of food at home and school fees or costs,No,Yes,46,242,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Makeshift shelter (Using Local Materials),,25%-50%,51%-75%,<25%,Yes,No,Self Organized,Malaria,Yes,Yes,No
Yes,Off-site,<2km,<25%,Classrooms not crowded,Yes,Distance to the school (too far),Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Distance to school lack of food at home and school,Lack of food at home and school distance to school,Yes,Yes,257,1077,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelters,,25%-50%,25%-50%,<25%,Yes,No,Self Organized,Malaria,Yes,Yes,No
Yes,Off-site,<1km,<25%,Classrooms not crowded,Yes,Lack of school supplies,Work at the house,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school distance to school,They are working lack of food at home and school,Yes,Yes,132,442,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelters,,>75%,<25%,,Yes,No,Self organized,Malaria,Yes,Yes,No
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Work at the house,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school they are working,Lack of space in local schools lack of food at home and school,Yes,Yes,407,1385,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,25%-50%,25%-50%,<25%,Yes,No,Self Organized,Malaria,Yes,Yes,No
No,,,none,No enough learning space,Yes,Work in the fields,Work at the house,Lack of parental/Care givers support,Largely insufficient number of teachers/Volunteers are available,They are working early marriage pregnancy,They are working safety concerns,No,No,523,1933,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Makeshift shelter (Using Local Materials),52.0,25%-50%,<25%,<25%,Yes,Yes,Self Organized,Malaria,No,Yes,Yes
Yes,Off-site,<1km,25%-50%,Classrooms not crowded,Yes,Lack of school supplies,Fees or costs,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Lack of food at home and school they are working,Distance to school lack of food at home and school,Yes,Yes,61,186,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelters,,<25%,25%-50%,,Yes,No,Self Organized,Malaria,Yes,No,No
Yes,Off-site,<1km,<25%,Classrooms not crowded,Yes,Lack of school supplies,Lack of parental/Care givers support,Fees or costs,"Enough teachers/Volunteers are available, classrooms are not crowded",Distance to school lack of food at home and school,Lack of food at home and school they are working,Yes,Yes,34,145,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Makeshift shelter (Using Local Materials),,<25%,<25%,<25%,Yes,No,Self Organized,Malaria,Yes,No,No
No,,,none,No enough learning space,No,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Lack of food at home and school,Early marriage  they are working,No,No,485,1951,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,51%-75%,<25%,,Yes,Yes,Self Organized,Diarrhea,No,Yes,Yes
Yes,Off-site,<2km,25%-50%,No enough learning space,No,Fees or costs,Work in the fields,Work at the house,Largely insufficient number of teachers/Volunteers are available,Lack of facilities separated by sex fees or costs,Fees or costs they are working,No,No,32,123,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),,51%-75%,<25%,<25%,Yes,Yes,Self organized,Malaria,No,Yes,Yes
Yes,On-site,<1km,<25%,Classrooms not crowded,Yes,Lack of school supplies,Work at the house,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",They are working lack of food at home and school,They are working lack of food at home and school,Yes,Yes,114,373,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelters,,25%-50%,25%-50%,<25%,Yes,No,Self organized,Malaria,Yes,Yes,No
Yes,On-site,<1km,<25%,No enough learning space,No,Work in the fields,Work at the house,Fees or costs,Largely insufficient number of teachers/Volunteers are available,Fees or costs,They are working,No,No,123,412,IDPs,Yes,Yes,Borno,Jere,Old Maiduguri,Emergency shelter Kits (Type 1),20.0,,,<25%,No,Yes,,Diarrhea,Yes,Yes,Yes
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Fear of violence,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation,Lack of documentation they are working,Yes,Yes,1569,6277,Returns,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,<25%,25%-50%,51%-75%,No,Unknown,,Malaria,Yes,Yes,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Lack of school supplies,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation fees or costs,Lack of food at home and school they are working,Yes,Yes,39,141,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,,<25%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Fear of violence,Lack of parental/Care givers support,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation early marriage pregnancy,Lack of food at home and school they are working,No,Yes,351,1321,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,<25%,25%-50%,51%-75%,No,No,,Malaria,Yes,Yes,Yes
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Fear of violence,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation early marriage pregnancy,Fees or costs lack of documentation,Yes,Yes,286,1232,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,25%-50%,25%-50%,51%-75%,No,No,,Malaria,Yes,Yes,No
